old host name,new host name,group name
TOTEM - NUC - 172.16.42.20,172.16.42.20,SP - ATIBAIA - H-E-26-ESCOLA PROF. MARIA J.C. DOS SANTOS (novo)
TOTEM - NUC - 172.16.42.40,172.16.42.40,SP - ATIBAIA - H-E-22-ESCOLA WALDA
TOTEM - NUC - 172.16.42.60,172.16.42.60,SP - ATIBAIA - H-E-21-ESCOLA THEREZINHA
TOTEM - NUC - 172.16.42.80,172.16.42.80,SP - ATIBAIA - H-E-13-ESCOLA FRANCISCO
TOTEM - NUC - 172.16.42.100,172.16.42.100,SP - ATIBAIA - H-E-15-ESCOLA LICINIO CARPINELLI
TOTEM - NUC - 172.16.42.140,172.16.42.140,SP - ATIBAIA - H-E-20-ESCOLA PREFEITO TAKAO ONO
TOTEM - NUC - 172.16.42.160,172.16.42.160,SP - ATIBAIA - H-E-17-ESCOLA NELSON PEDROSO
TOTEM - NUC - 172.16.42.180,172.16.42.180,SP - ATIBAIA H-E-18-ESCOLA PAULO FREIRE
TOTEM - NUC - 172.16.42.200,172.16.42.200,SP - ATIBAIA - H-E-16-ESCOLA MARIA HELENA
TOTEM - NUC - 172.16.42.220,172.16.42.220,SP - ATIBAIA - H-E-19-ESCOLA ROSIRIS MARIA
TOTEM - NUC - 172.16.42.240,172.16.42.240,SP - ATIBAIA - H-E-24-ESCOLA WALTER DE OLIVEIRA
TOTEM - NUC - 172.16.43.10,172.16.43.10,SP - ATIBAIA - H-E-23-ESCOLA WALDEMAR BASTOS
TOTEM - NUC - 172.16.43.30,172.16.43.30,SP - ATIBAIA - H-E-25-ESCOLA PREFEITO GILBERTO SANT'ANNA
TOTEM - NUC - 172.16.43.50,172.16.43.50,SP - ATIBAIA - H-E-11- CIEM
TOTEM - NUC - 172.16.43.70,172.16.43.70,SP - ATIBAIA - H-E-12-CEIM II
TOTEM - NUC - 172.16.43.90,172.16.43.90,SP - ATIBAIA - H-09-ASA DELTA
TOTEM - NUC - 172.16.43.100,172.16.43.100,SP - ATIBAIA - H-02-JARDIM DOS PINHEIROS
TOTEM - NUC - 172.16.43.130,172.16.43.130,SP - ATIBAIA - H-04-RODOVIÁRIA
TOTEM - NUC - 172.16.43.140,172.16.43.140,SP - ATIBAIA - H-08-ALVINÓPOLIS
TOTEM - NUC - 172.16.43.150,172.16.43.150,SP - ATIBAIA - H-06-CENTRO DE CONVENÇÕES
TOTEM - NUC - 172.16.43.170,172.16.43.170,SP - ATIBAIA - H-07-ROTATÓRIA ROTARY
TOTEM - NUC - 172.16.43.180,172.16.43.180,SP - ATIBAIA - H-10-ENTRADA CAETETUBA
