old host name,new host name,group name
TOTEM - NUC - 172.17.8.50,172.17.8.50,RO - JI-PARANA - AV. MARECHAL RONDON
TOTEM - NUC - 172.17.8.60,172.17.8.60,RO - JI-PARANA - AV. DAS SERINGUEIRAS T14 X AV. EDSON LIMA NASCIMENTO - ESTRADA LINHA 94
TOTEM - NUC - 172.17.8.70,172.17.8.70,RO - JI-PARANA - AV. MARECHAL RONDON X R. DOS MINEIROS
TOTEM - NUC - 172.17.8.80,172.17.8.80,RO - JI-PARANA - AV. MARECHAL RONDON X AV. 6 DE MAIO
TOTEM - NUC - 172.17.8.90,172.17.8.90,RO - JI-PARANA - PRAÇA DOS MIGRANTES - RUA DR. ANTONIO LAZARO DE MOURA X RUA MENEZES FILHO
TOTEM - NUC - 172.17.8.100,172.17.8.100,RO - JI-PARANA - AV-MONTE-CASTELO-X-RUA-RIO-AMAZONAS-PRÓXIMO-AO-IFRO
TOTEM - NUC - 172.17.8.110,172.17.8.110,RO - JI-PARANA - AV. BRASIL X RUA PADRE SILVIO MICHELUSSI
TOTEM - NUC - 172.17.8.130,172.17.8.130,RO - JI-PARANA - AV. BRASIL X RUA MARACATIARA
TOTEM - NUC - 172.17.8.150,172.17.8.150,RO - JI-PARANA - CEDEL BNH - RUA CAUCHEIRO X RUA E
TOTEM - NUC - 172.17.8.140,172.17.8.140,RO - JI-PARANA - AV. DAS SERINGUEIRAS T14 X AV. ARACAJU
TOTEM - NUC - 172.17.8.160,172.17.8.160,RO - JI-PARANA - RUA CEDRO T23 X RUA GOVERNADOR JORGE TEIXEIRA K5
TOTEM - NUC - 172.17.8.120,172.17.8.120,RO - JI-PARANA - AV. BRASIL X RUA LUÍS MUZAMBINHO
