old host name,new host name,group name
TOTEM - NUC - 172.16.10.20,172.16.10.20,MG - 3 CORACOES - UNINCOR
TOTEM - NUC - 172.16.10.30,172.16.10.30,MG - 3 CORACOES - PRAÇA ODILON
TOTEM - NUC - 172.16.10.40,172.16.10.40,MG - 3 CORACOES - POSTO HESS
TOTEM - NUC - 172.16.10.50,172.16.10.50,MG - 3 CORACOES - ROTATÓRIA REX
TOTEM - NUC - 172.16.10.60,172.16.10.60,MG - 3 CORACOES - TREVO HOSPITAL (TEN. PALESTINO)
TOTEM - NUC - 172.16.10.70,172.16.10.70,MG - 3 CORACOES - ESA (PONTE RODOVIÁRIA)
TOTEM - NUC - 172.16.10.80,172.16.10.80,MG - 3 CORACOES - IGREJA MATRIZ
TOTEM - NUC - 172.16.10.90,172.16.10.90,MG - 3 CORACOES - TOATOA (PONTE STA TEREZA)
TOTEM - NUC - 172.16.10.100,172.16.10.100,MG - 3 CORACOES - DONDINHO
TOTEM - NUC - 172.16.10.110,172.16.10.110,MG - 3 CORACOES - MAIOLINI
TOTEM - NUC - 172.16.10.120,172.16.10.120,MG - 3 CORACOES - SAÍDA CAMBUQUIRA (MARIA LAURA)
TOTEM - NUC - 172.16.10.130,172.16.10.130,MG - 3 CORACOES - SAÍDA SÃO THOMÉ (BOA VENTURA)
TOTEM - NUC - 172.16.10.140,172.16.10.140,MG - 3 CORACOES - EM CANDIDA JUNQUEIRA (CAIC)
TOTEM - NUC - 172.16.10.150,172.16.10.150,MG - 3 CORACOES - EM ZILAH REZENDE (RIO DO PEIXE)
TOTEM - NUC - 172.16.10.160,172.16.10.160,MG - 3 CORACOES - EM CAP. MORBELO VENDRAMINI (CRISTO)
TOTEM - NUC - 172.16.10.170,172.16.10.170,MG - 3 CORACOES - CEMEI MARISTELA MELIATO (ROTATÓRIA KERRY)
