old host name,new host name,group name
TOTEM - NUC - 172.16.0.20,172.16.0.20,SP - BERTIOGA - EE PROF. ARMANDO BELEGARD X GINASIO DE ESPORTES X PRAÇA ALDO MORO
TOTEM - NUC - 172.16.0.30,172.16.0.30,SP - BERTIOGA - EE WILLIAN AURELI X PRAÇA DA PRIMAVERA
TOTEM - NUC - 172.16.0.40,172.16.0.40,SP - BERTIOGA - ORLA DA PRAIA – TENDA – CASA DA CULTURA
TOTEM - NUC - 172.16.0.50,172.16.0.50,SP - BERTIOGA - PORTAL DA ENTRADA DA CIDADE
TOTEM - NUC - 172.16.0.60,172.16.0.60,SP - BERTIOGA - PIER LICURGO – CANAL
TOTEM - NUC - 172.16.0.70,172.16.0.70,SP - BERTIOGA - ORLA DA PRAIA – VISTA LINDA
TOTEM - NUC - 172.16.0.80,172.16.0.80,SP - BERTIOGA - HOSPITAL
TOTEM - NUC - 172.16.0.90,172.16.0.90,SP - BERTIOGA - EM JOSE INACIO HORA X EE PROFª. MARIA APARECIDA PINTO DE ABREU MAGNO
TOTEM - NUC - 172.16.0.100,172.16.0.100,SP - BERTIOGA - EM DINO BUENO
TOTEM - NUC - 172.16.0.110,172.16.0.110,SP - BERTIOGA - EE PROF. ARMANDO BELEGARDE X EM PROFº DELPHINO STOCKLER DE LIMA – INFANTIL E FUNDAMENTAL X FACULDADE BERTIOGA X COLÉGIO OBJETIVO X EE VICENTE DE CARVALHO II
TOTEM - NUC - 172.16.0.120,172.16.0.120,SP - BERTIOGA - NEIM AMILTON JOSE DO AMPARO
TOTEM - NUC - 172.16.0.130,172.16.0.130,SP - BERTIOGA - NEIM ALBATROZ
TOTEM - NUC - 172.16.0.140,172.16.0.140,SP - BERTIOGA -  EM GIUSFREDO SANTINI
TOTEM - NUC - 172.16.0.150,172.16.0.150,SP - BERTIOGA - NEIM ELIZABETH R. AP. GARCIA
TOTEM - NUC - 172.16.0.160,172.16.0.160,SP - BERTIOGA - EM CRISTINA DOS SANTOS
TOTEM - NUC - 172.16.0.170,172.16.0.170,SP - BERTIOGA - NEIM MANGUE SECO
TOTEM - NUC - 172.16.0.180,172.16.0.180,SP - BERTIOGA - NEIM PROFESSORA ZILMAR MOURA DOS SANTOS
TOTEM - NUC - 172.16.0.190,172.16.0.190,SP - BERTIOGA - EM JOSÉ DE OLIVEIRA SANTOS
TOTEM - NUC - 172.16.0.200,172.16.0.200,SP - BERTIOGA - NEIM PROF IRENE VAZ PINTO LLYRA
TOTEM - NUC - 172.16.0.210,172.16.0.210,SP - BERTIOGA - NEIM OSWALDO JUSTO
TOTEM - NUC - 172.16.0.220,172.16.0.220,SP - BERTIOGA - EE JOÃO CARLOS DO ROSÁRIO LOPES X EM JARDIM VISTA LINDA
TOTEM - NUC - 172.16.0.230,172.16.0.230,SP - BERTIOGA - EMEIF HILDA STRENGER RIBEIRO – VISTA LINDA
TOTEM - NUC - 172.16.0.240,172.16.0.240,SP - BERTIOGA - EM MARIA LUCIA SOARES MONTEIROS - CHACARÁS
TOTEM - NUC - 172.16.1.10,172.16.1.10,SP - BERTIOGA - EMEIF GENÉSIO SEBASTIÃO DOS SANTOS - INFANTIL E FUNDAMENTAL
TOTEM - NUC - 172.16.1.20,172.16.1.20,SP - BERTIOGA - NEIM TEODORO QUIRINO
TOTEM - NUC - 172.16.1.30,172.16.1.30,SP - BERTIOGA - UBS INDAIA + EE ARCHIMEDES BAVAS – INDAIÁ
TOTEM - NUC - 172.16.1.40,172.16.1.40,SP - BERTIOGA - EM JOSÉ ERMIRIO DE MORAES FILHO
TOTEM - NUC - 172.16.1.50,172.16.1.50,SP - BERTIOGA - MARIO COVAS X NEIM MIRIAM DE ASSIS
TOTEM - NUC - 172.16.1.70,172.16.1.70,SP - BERTIOGA - EM JOSÉ CARLOS BUZINARO
TOTEM - NUC - 172.16.1.80,172.16.1.80,SP - BERTIOGA - EE PRAIAS DE BORACÉIA
TOTEM - NUC - 172.16.1.90,172.16.1.90,SP - BERTIOGA - NEIM BORACÉIA I
TOTEM - NUC - 172.16.1.100,172.16.1.100,SP - BERTIOGA - IMEIF BORACÉIA + NEIM BORACÉIA II + UBS BORACÉIA
TOTEM - NUC - 172.16.1.110,172.16.1.110,SP - BERTIOGA - EMEIF CAIUBURA
TOTEM - NUC - 172.16.1.120,172.16.1.120,SP - BERTIOGA - PRAÇA POTANGI
TOTEM - NUC - 172.16.1.130,172.16.1.130,SP - BERTIOGA - NEIM CHACARA VISTA lINDA
TOTEM - NUC - 172.16.1.140,172.16.1.140,SP - BERTIOGA - RIO DA PRAIA - SESC
TOTEM - NUC - 172.16.1.150,172.16.1.150,SP - BERTIOGA - CANTEIRO CENTRAL -  MOVEIS USADOS – JD RAFAEL
TOTEM - NUC - 172.16.1.160,172.16.1.160,SP - BERTIOGA - CANTEIRO CENTRAL – CAIXA ECON. MAITINGA
