old host name,new host name,group name
TOTEM - NUC - 192.168.150.10,192.168.150.10,SP - DIADEMA - CARREFOUR
TOTEM - NUC - 192.168.150.20,192.168.150.20,SP - DIADEMA - PRAÇA CASTELO BRANCO
TOTEM - NUC - 192.168.150.30,192.168.150.30,SP - DIADEMA - CASA GRANDE
TOTEM - NUC - 192.168.150.40,192.168.150.40,SP - DIADEMA - ELDORADO II
TOTEM - NUC - 192.168.151.50,192.168.151.50,SP - DIADEMA - ELDORADO I
TOTEM - NUC - 192.168.150.70,192.168.150.70,SP - DIADEMA - PRAÇA CÉU DAS ARTES
TOTEM - NUC - 192.168.150.80,192.168.150.80,SP - DIADEMA - SERRARIA
TOTEM - NUC - 192.168.150.90,192.168.150.90,SP - DIADEMA - PARQUE REAL
TOTEM - NUC - 192.168.150.100,192.168.150.100,SP - DIADEMA - CONCEIÇÃO
TOTEM - NUC - 192.168.150.110,192.168.150.110,SP - DIADEMA - TABOÃO I
TOTEM - NUC - 192.168.151.110,192.168.151.110,SP - DIADEMA - PRAÇA CELITE
TOTEM - NUC - 192.168.150.120,192.168.150.120,SP - DIADEMA - CANHEMA
TOTEM - NUC - 192.168.150.130,192.168.150.130,SP - DIADEMA - VILA SÃO JOSÉ
TOTEM - NUC - 192.168.150.140,192.168.150.140,SP - DIADEMA - VILA NOGUEIRA
TOTEM - NUC - 192.168.150.150,192.168.150.150,SP - DIADEMA - PIRAPORINHA
TOTEM - NUC - 192.168.150.160,192.168.150.160,SP - DIADEMA - JD. PROMISSÃO
TOTEM - NUC - 192.168.150.180,192.168.150.180,SP - DIADEMA - PARQUE REID
TOTEM - NUC - 192.168.150.190,192.168.150.190,SP - DIADEMA - TERMINAL DIADEMA
TOTEM - NUC - 192.168.150.200,192.168.150.200,SP - DIADEMA - RUA COIMBRA
TOTEM - NUC - 192.168.150.210,192.168.150.210,SP - DIADEMA - QUARTEIRÃO DA SAÚDE
TOTEM - NUC - 192.168.150.220,192.168.150.220,SP - DIADEMA - PRAÇA OITO DE DEZEMBRO
TOTEM - NUC - 192.168.150.230,192.168.150.230,SP - DIADEMA - PRAÇA DA MOÇA
TOTEM - NUC - 192.168.150.240,192.168.150.240,SP - DIADEMA - PRAÇA DA MATRIZ
