old host name,new host name,group name
TOTEM - NUC - 172.16.6.20,172.16.6.20,MG - FRUTAL - BANCO DO BRASIL
TOTEM - NUC - 172.16.6.30,172.16.6.30,MG - FRUTAL - FRENTE LAGO
TOTEM - NUC - 172.16.6.40,172.16.6.40,MG - FRUTAL - AP DE MINAS
TOTEM - NUC - 172.16.6.60,172.16.6.60,MG - FRUTAL - AV. JK / SENADOR
TOTEM - NUC - 172.16.6.70,172.16.6.70,MG - FRUTAL - E.M CEL. ALONSO
TOTEM - NUC - 172.16.6.80,172.16.6.80,MG - FRUTAL - CEMEI LOURDES
TOTEM - NUC - 172.16.6.90,172.16.6.90,MG - FRUTAL - MUSEU
TOTEM - NUC - 172.16.6.100,172.16.6.100,MG - FRUTAL - E.M NECIME
TOTEM - NUC - 172.16.6.110,172.16.6.110,MG - FRUTAL - E.M VICENTE
TOTEM - NUC - 172.16.6.130,172.16.6.130,MG - FRUTAL - AV. JK / SINE
TOTEM - NUC - 172.16.6.140,172.16.6.140,MG - FRUTAL - AUTO ESC. CLAUD.
TOTEM - NUC - 172.16.6.150,172.16.6.150,MG - FRUTAL - CEMITÉRIO
TOTEM - NUC - 172.16.6.160,172.16.6.160,MG - FRUTAL - JK / GOIAS
TOTEM - NUC - 172.16.6.170,172.16.6.170,MG - FRUTAL - E.M CANDIDO
TOTEM - NUC - 172.16.6.190,172.16.6.190,MG - FRUTAL - BRASILIA / EUVALDO
TOTEM - NUC - 172.16.6.200,172.16.6.200,MG - FRUTAL - FLAMBOYANT
TOTEM - NUC - 172.16.6.210,172.16.6.210,MG - FRUTAL - FRANCISCO MORON
TOTEM - NUC - 172.16.6.220,172.16.6.220,MG - FRUTAL - CURVA GALINHA
TOTEM - NUC - 172.16.6.230,172.16.6.230,MG - FRUTAL - ANTÔNIO FURTADO
TOTEM - NUC - 172.16.6.240,172.16.6.240,MG - FRUTAL - POLÍCIA CIVIL
TOTEM - NUC - 172.16.7.10,172.16.7.10,MG - FRUTAL - FREI TEODOSIO
