old host name,new host name,group name
TOTEM - NUC - 172.16.12.50,172.16.12.50,SP - GUAIRA - PRAÇA SÃO SEBASTIÃO
TOTEM - NUC - 172.16.12.60,172.16.12.60,"SP - GUAIRA - ENTRADA PRINCIPAL ""Avenida Acácia Guairense x Rua: Benevenuto Pereira da Silva """
TOTEM - NUC - 172.16.12.70,172.16.12.70,SP - GUAIRA - TREVO DAS ANTAS
TOTEM - NUC - 172.16.12.80,172.16.12.80,SP - GUAIRA - TREVO DO POSTO CARRETÃO
TOTEM - NUC - 172.16.12.90,172.16.12.90,SP - GUAIRA - ROTATÓRIA TERMINAL RODOVIÁRIO
TOTEM - NUC - 172.16.12.100,172.16.12.100,SP - GUAIRA - ESTÂNCIA GAÚCHA LAGOA
TOTEM - NUC - 172.16.12.110,172.16.12.110,SP - GUAIRA - HOTEL DO LAGO LAGOA
TOTEM - NUC - 172.16.12.120,172.16.12.120,SP - GUAIRA - PREFEITURA RUA 31 COM RUA 34
TOTEM - NUC - 172.16.12.130,172.16.12.130,SP - GUAIRA - CEI JOSEFINA R. CALIGARIS
TOTEM - NUC - 172.16.12.140,172.16.12.140,SP - GUAIRA - CEI WALMDEMAR CHUBACI
TOTEM - NUC - 172.16.12.150,172.16.12.150,SP - GUAIRA - ESCOLA VERA VITALI
TOTEM - NUC - 172.16.12.160,172.16.12.160,SP - GUAIRA - ESCOLA FRANCISCO GOMES DE SOUZA
TOTEM - NUC - 172.16.12.170,172.16.12.170,SP - GUAIRA - ESCOLA MARIA AUXILIADORA
TOTEM - NUC - 172.16.12.180,172.16.12.180,SP - GUAIRA - ESCOLA PADRE MARIO LANO
TOTEM - NUC - 172.16.12.190,172.16.12.190,SP - GUAIRA - ESCOLA VICENCINA VACCARO MORSOLETO
TOTEM - NUC - 172.16.12.200,172.16.12.200,SP - GUAIRA - ESCOLA ENOCH GARCIA LEAL
TOTEM - NUC - 172.16.12.210,172.16.12.210,SP - GUAIRA - ESCOLA DALVA LELIS GARCIA PRADO
TOTEM - NUC - 172.16.12.220,172.16.12.220,SP - GUAIRA - ESCOLA ZEZINHO PORTUGAL
TOTEM - NUC - 172.16.12.230,172.16.12.230,SP - GUAIRA - PSF JOSÉ VILELA
TOTEM - NUC - 172.16.12.240,172.16.12.240,SP - GUAIRA - TREVO PREDILECTA
TOTEM - NUC - 172.16.12.250,172.16.12.250,SP - GUAIRA - KAIKAN SAIDA DA RUA 26
TOTEM - NUC - 172.16.13.10,172.16.13.10,SP - GUAIRA - TREVO DA SAIDA ANTES DA ETE SANTA QUITERIA
TOTEM - NUC - 172.16.13.20,172.16.13.20,SP - GUAIRA - TREVO LIONS CLUBE
TOTEM - NUC - 172.16.13.30,172.16.13.30,SP - GUAIRA - SAIDA DO FINAL DA COHAB II
