old host name,new host name,group name
TOTEM - NUC - 172.16.30.20,172.16.30.20,MG - ITUIUTABA - ESCOLA AIDA ANDRADE CHAVES (TOTEM 1)
TOTEM - NUC - 172.16.30.30,172.16.30.30,MG - ITUIUTABA - ESCOLA AIDA ANDRADE CHAVES (TOTEM 2)
TOTEM - NUC - 172.16.30.40,172.16.30.40,MG - ITUIUTABA - PROF. CELINA DIB
TOTEM - NUC - 172.16.30.50,172.16.30.50,MG - ITUIUTABA - MANUEL ALVES VIL
TOTEM - NUC - 172.16.30.60,172.16.30.60,MG - ITUIUTABA - CAMILO CHAVES JR (TOTEM 1)
TOTEM - NUC - 172.16.30.70,172.16.30.70,MG - ITUIUTABA - CAMILO CHAVES JR (TOTEM 2)
TOTEM - NUC - 172.16.30.80,172.16.30.80,MG - ITUIUTABA - ROSA TAHAN
TOTEM - NUC - 172.16.30.90,172.16.30.90,MG - ITUIUTABA - MARIA FLORIPES (TOTEM 1)
TOTEM - NUC - 172.16.30.120,172.16.30.120,MG - ITUIUTABA - CLORINDA JUNQUEIRA
TOTEM - NUC - 172.16.30.130,172.16.30.130,MG - ITUIUTABA - MACHADO DE ASSIS (TOTEM 1)
TOTEM - NUC - 172.16.30.140,172.16.30.140,MG - ITUIUTABA - MACHADO DE ASSIS (TOTEM 2)
TOTEM - NUC - 172.16.30.150,172.16.30.150,MG - ITUIUTABA - CIME SARAH FÉRES (TOTEM 1)
TOTEM - NUC - 172.16.30.160,172.16.30.160,MG - ITUIUTABA - CIME SARAH FÉRES (TOTEM 2)
TOTEM - NUC - 172.16.30.180,172.16.30.180,MG - ITUIUTABA - SALIM BITTAR (TOTEM 2)
TOTEM - NUC - 172.16.30.190,172.16.30.190,MG - ITUIUTABA - CAIC (TOTEM 1)
TOTEM - NUC - 172.16.30.200,172.16.30.200,MG - ITUIUTABA - CAIC-TOTEM-2
TOTEM - NUC - 172.16.30.210,172.16.30.210,MG - ITUIUTABA - NADIME DERZE JORGE TOTEM 1
TOTEM - NUC - 172.16.30.230,172.16.30.230,MG - ITUIUTABA - HUGO MASCARENHAS (TOTEM 1)
TOTEM - NUC - 172.16.30.240,172.16.30.240,MG - ITUIUTABA - HUGO MASCARENHAS (TOTEM 2)
TOTEM - NUC - 172.16.31.30,172.16.31.30,MG - ITUIUTABA - NADIME DERZE JORGE TOTEM 2
TOTEM - NUC - 172.16.31.40,172.16.31.40,MG - ITUIUTABA - ILDEFONSO MASCARENHAS (TOTEM 2)
