old host name,new host name,group name
TOTEM - NUC - 172.17.0.50,172.17.0.50,SP - MOGI DAS CRUZES - PARQUE BOTYRA
TOTEM - NUC - 172.17.0.60,172.17.0.60,SP - MOGI DAS CRUZES - PRAÇA MARISA
TOTEM - NUC - 172.17.0.70,172.17.0.70,SP - MOGI DAS CRUZES - ESTAÇÃO MOGI
TOTEM - NUC - 172.17.0.80,172.17.0.80,SP - MOGI DAS CRUZES - JUNDIAPEBA
TOTEM - NUC - 172.17.0.90,172.17.0.90,SP - MOGI DAS CRUZES - NORIVAL TAVARES
TOTEM - NUC - 172.17.0.110,172.17.0.110,SP - MOGI DAS CRUZES - PRAÇA DA LIBERDADE
TOTEM - NUC - 172.17.0.120,172.17.0.120,SP - MOGI DAS CRUZES - LARGO 1°  SETEMBRO (novo)
TOTEM - NUC - 172.17.0.130,172.17.0.130,SP - MOGI DAS CRUZES - PRAÇA DA JACA
TOTEM - NUC - 172.17.0.140,172.17.0.140,SP - MOGI DAS CRUZES - SABAÚNA
TOTEM - NUC - 172.17.0.150,172.17.0.150,SP - MOGI DAS CRUZES - EM MARIA JOSÉ TENÓRIO DE AQUINO SILVA (PROFª)
TOTEM - NUC - 172.17.0.170,172.17.0.170,SP - MOGI DAS CRUZES - EM TERESA MARTINS PINHAL (PROFª)
TOTEM - NUC - 172.17.0.190,172.17.0.190,SP - MOGI DAS CRUZES - CEMPRE LOURDES LOPES ROMEIRO IANNUZZI (PROFª)
TOTEM - NUC - 172.17.0.210,172.17.0.210,SP - MOGI DAS CRUZES - EM RODOLPHO MEHLMANN (PROF.)
TOTEM - NUC - 172.17.0.230,172.17.0.230,SP - MOGI DAS CRUZES - EM ÁLVARO DE CAMPOS CARNEIRO (DR.)
TOTEM - NUC - 172.17.0.250,172.17.0.250,SP - MOGI DAS CRUZES - EM MÁRIO PORTES (PROF.)
TOTEM - NUC - 172.17.1.10,172.17.1.10,SP - MOGI DAS CRUZES - EM AUTA CARDOSO DE MELLO (PROFª)
TOTEM - NUC - 172.17.1.30,172.17.1.30,SP - MOGI DAS CRUZES - EMESP JOVITA FRANCO AROUCHE (PROFª)
TOTEM - NUC - 172.17.1.70,172.17.1.70,SP - MOGI DAS CRUZES - EM BENEDITO LAPORTE VIEIRA DA MOTTA (DR.)
TOTEM - NUC - 172.17.1.90,172.17.1.90,SP - MOGI DAS CRUZES - EM DORACY BAPTISTA DE CAMPOS PEREIRA (PROFª)
TOTEM - NUC - 172.17.1.110,172.17.1.110,SP - MOGI DAS CRUZES - EM CENIRA ARAÚJO PEREIRA (PROFª)
TOTEM - NUC - 172.17.1.130,172.17.1.130,SP - MOGI DAS CRUZES - EM ASTRÉA BARRAL NÉBIAS (VERª)
TOTEM - NUC - 172.17.1.150,172.17.1.150,SP - MOGI DAS CRUZES - CEIM THEREZA GERALDI DE ALMEIDA (SRª)
TOTEM - NUC - 172.17.1.170,172.17.1.170,SP - MOGI DAS CRUZES - EM JAIR ROCHA BATALHA (PROF. DR.)
TOTEM - NUC - 172.17.1.190,172.17.1.190,SP - MOGI DAS CRUZES - EM THEREZINHA SOARES (PROFª)
TOTEM - NUC - 172.17.1.210,172.17.1.210,SP - MOGI DAS CRUZES - EM ANTONIO NACIF SALEMI
TOTEM - NUC - 172.17.1.230,172.17.1.230,SP - MOGI DAS CRUZES - CEIM LOURDES GUERRA DE CAMPOS
TOTEM - NUC - 172.17.1.250,172.17.1.250,SP - MOGI DAS CRUZES - EM CLÁUDIO ABRAHÃO (ENG.)
TOTEM - NUC - 172.17.2.10,172.17.2.10,SP - MOGI DAS CRUZES - EM APPARECIDA FERREIRA CURSINO (PROFª)
TOTEM - NUC - 172.17.2.30,172.17.2.30,SP - MOGI DAS CRUZES - EM WALDIR PAIVA DE OLIVEIRA FREITAS (DR.)
TOTEM - NUC - 172.17.2.50,172.17.2.50,SP - MOGI DAS CRUZES - EM GUIOMAR PINHEIRO FRANCO (PROFª)
TOTEM - NUC - 172.17.2.70,172.17.2.70,SP - MOGI DAS CRUZES - EM MARIA LUIZA MENEZES DA FONSECA (PROFª)
TOTEM - NUC - 172.17.2.110,172.17.2.110,SP - MOGI DAS CRUZES - CEMPRE BENEDITO FERREIRA LOPES
TOTEM - NUC - 172.17.2.90,172.17.2.90,SP - MOGI DAS CRUZES - EM AFONSO CAPORALI FILHO (PROF.)
TOTEM - NUC - 172.17.2.130,172.17.2.130,SP - MOGI DAS CRUZES - EM ANTÔNIO PASCHOAL GOMES DE OLIVEIRA (PROF.)
TOTEM - NUC - 172.17.2.150,172.17.2.150,SP - MOGI DAS CRUZES - EM ARMINDO FREIRE MÁRMORA (DES.)
TOTEM - NUC - 172.17.2.170,172.17.2.170,SP - MOGI DAS CRUZES - EM EULÁLIO GRUPPI (PROF.)
TOTEM - NUC - 172.17.2.190,172.17.2.190,SP - MOGI DAS CRUZES - EM IVETE CHUERY VIEIRA TORQUATO VICCO (PROFª)
TOTEM - NUC - 172.17.2.210,172.17.2.210,SP - MOGI DAS CRUZES - EM CECÍLIA DE SOUZA LIMA VIANNA (PROFª)
