old host name,new host name,group name
TOTEM - NUC - 172.16.2.30,172.16.2.30,MG - PARACATU - E.M BEZERRA DE MENEZES
TOTEM - NUC - 172.16.2.50,172.16.2.50,MG - PARACATU E.M CORACI MEIRELES DE OLIVEIRA
TOTEM - NUC - 172.16.2.210,172.16.2.210,MG - PARACATU - CRECHE MARIA DA CONCEIÇÃO
TOTEM - NUC - 172.16.2.60,172.16.2.60,MG - PARACATU - DR. ANTÔNIO RIBEIRO
TOTEM - NUC - 172.16.2.70,172.16.2.70,MG - PARACATU - GIDALTE MARIA DOS SANTOS
TOTEM - NUC - 172.16.2.80,172.16.2.80,MG - PARACATU - JOAQUIM ADJUTO BOTELHO
TOTEM - NUC - 172.16.2.90,172.16.2.90,MG - PARACATU - LEONOR ULHOA VICTOR RODRIGUES
TOTEM - NUC - 172.16.2.100,172.16.2.100,MG - PARACATU - CRECHE MARCIA MACEDO MEIRELES - CAI
TOTEM - NUC - 172.16.2.120,172.16.2.120,MG - PARACATU -  ADA SANTANA RIBEIRO
TOTEM - NUC - 172.16.2.140,172.16.2.140,MG - PARACATU - MARIA TRINDADE ALVES RODRIGUES
TOTEM - NUC - 172.16.2.160,172.16.2.160,MG - PARACATU - CEMEI SELVA SANTANA ALMEIDA
TOTEM - NUC - 172.16.2.170,172.16.2.170,MG - PARACATU - CEMEI TIA LUCINHA
TOTEM - NUC - 172.16.2.190,172.16.2.190,MG - PARACATU - MARCIA MACEDO MEIRELES - CAIC
TOTEM - NUC - 172.16.2.230,172.16.2.230,MG - PARACATU - CRECHE SÃO FRANCISCO DE ASSIS
TOTEM - NUC - 172.16.3.10,172.16.3.10,MG - PARACATU - CRECHE SÃO SEBASTIÃO
TOTEM - NUC - 172.16.3.30,172.16.3.30,MG - PARACATU - RECHE VIRGINIA TEODORO DA SILVA
TOTEM - NUC - 172.16.3.50,172.16.3.50,MG - PARACATU - CRECHE ZILDA BATISTA DA SILVA
TOTEM - NUC - 172.16.3.60,172.16.3.60,MG - PARACATU - CRECHE CRIANÇA FELIZ
TOTEM - NUC - 172.16.3.80,172.16.3.80,MG - PARACATU - P.E.M LÚCIA CRUZ GONÇALVES
TOTEM - NUC - 172.16.3.100,172.16.3.100,MG - PARACATU - P.E.M PAULO KLEBER ULHOA
