old host name,new host name,group name
TOTEM - NUC - 172.16.40.20,172.16.40.20,SC - PORTO BELO - PREFEITURA
TOTEM - NUC - 172.16.40.30,172.16.40.30,SC - PORTO BELO - VILA NOVA
TOTEM - NUC - 172.16.40.40,172.16.40.40,SC - PORTO BELO - AV HIRONILDO
TOTEM - NUC - 172.16.40.50,172.16.40.50,SC - PORTO BELO - NAIR REBELO
TOTEM - NUC - 172.16.40.60,172.16.40.60,SC - PORTO BELO - LAURO PRADO
TOTEM - NUC - 172.16.40.70,172.16.40.70,SC - PORTO BELO - GUERREIROS
TOTEM - NUC - 172.16.40.80,172.16.40.80,SC - PORTO BELO - ESTELA MACHADO
TOTEM - NUC - 172.16.40.90,172.16.40.90,SC - PORTO BELO - LAURO MENDONÇA
TOTEM - NUC - 172.16.40.100,172.16.40.100,SC - PORTO BELO - OLINDA PEIXOTO
TOTEM - NUC - 172.16.40.110,172.16.40.110,SC - PORTO BELO - PRIMEIROS PASSOS
TOTEM - NUC - 172.16.40.130,172.16.40.130,SC - PORTO BELO - ALDA FURTADO
TOTEM - NUC - 172.16.40.140,172.16.40.140,SC - PORTO BELO - GINASIO DE ESPORTES
TOTEM - NUC - 172.16.40.150,172.16.40.150,SC - PORTO BELO - ANTONIO GARCIA
