old host name,new host name,group name
TOTEM - NUC - 172.17.4.50,172.17.4.50,RO - PORTO VELHO - IMIGRANTES COM JORGE TEIXEIRA FRENTE À SESDEC
TOTEM - NUC - 172.17.4.80,172.17.4.80,RO - PORTO VELHO - CAMPOS SALES COM BR CAMPOS SALES COM BR
TOTEM - NUC - 172.17.4.90,172.17.4.90,RO - PORTO VELHO - CAMPOS SALES COM JOAO PAULO I Campos Sales / João Paulo I
TOTEM - NUC - 172.17.5.190,172.17.5.190,RO - PORTO VELHO - AV 7 DE SETEMBRO 2
TOTEM - NUC - 172.17.4.110,172.17.4.110,RO - PORTO VELHO - IMIGRANTES COM ESTRADA DA PENAL IMIGRANTES / ESTRADA DA PENAL
TOTEM - NUC - 172.17.4.120,172.17.4.120,RO - PORTO VELHO - CALAMA COM DANIELA RUA CALMA / DANIELA
TOTEM - NUC - 172.17.4.130,172.17.4.130,RO - PORTO VELHO - MAMORE COM AMAZONAS MAMORE / AMAZONAS
TOTEM - NUC - 172.17.4.140,172.17.4.140,RO - PORTO VELHO - MAMORE COM BENEDITO INOCÊNCIO MAMORE / BENEDITO INOCÊNCIO
TOTEM - NUC - 172.17.4.150,172.17.4.150,RO - PORTO VELHO - AEROPORTO ACESSO DO AEROPORTO
TOTEM - NUC - 172.17.4.160,172.17.4.160,RO - PORTO VELHO - ESPAÇO ALTERNATIVO 01 AV. GOV JORGE TEIXEIRA
TOTEM - NUC - 172.17.4.170,172.17.4.170,RO - PORTO VELHO - ESPAÇO ALTERNATIVO 02 AV. GOV JORGE TEIXEIRA
TOTEM - NUC - 172.17.4.200,172.17.4.200,RO - PORTO VELHO - AVENIDA 7 DE SETEMBRO - IRMÃ CAPELE
TOTEM - NUC - 172.17.4.210,172.17.4.210,RO - PORTO VELHO - PRAÇA MARECHAL RONDON AV SETE DE SETEMBRO / AV ROGÉRIO WEBER
TOTEM - NUC - 172.17.4.220,172.17.4.220,RO - PORTO VELHO - AV CARLOS GOMES 2 AV CARLOS / AV.PRESIDENTE DUTRA
TOTEM - NUC - 172.17.5.180,172.17.5.180,RO - PORTO VELHO - AV CARLOS GOMES 1
TOTEM - NUC - 172.17.5.170,172.17.5.170,RO - PORTO VELHO - JOSE AMADOR DOS REIS 2
TOTEM - NUC - 172.17.4.230,172.17.4.230,RO - PORTO VELHO - CEDEL DEROCHE AV PINHEIRO MACHADO
TOTEM - NUC - 172.17.5.150,172.17.5.150,RO - PORTO VELHO - PARQUE ECOLÓGICO PORTARIA DO PARQUE
TOTEM - NUC - 172.17.5.140,172.17.5.140,RO - PORTO VELHO - CAMPO JARDIM SANTANA
TOTEM - NUC - 172.17.4.240,172.17.4.240,RO - PORTO VELHO - CPA RUA FARKUAR
TOTEM - NUC - 172.17.5.130,172.17.5.130,RO - PORTO VELHO - RUA UNIÃO
TOTEM - NUC - 172.17.5.120,172.17.5.120,RO - PORTO VELHO - CEDEL JK
TOTEM - NUC - 172.17.5.110,172.17.5.110,RO - PORTO VELHO - JOSÉ AMADOR REIS
TOTEM - NUC - 172.17.5.90,172.17.5.90,RO - PORTO VELHO - AV MAMORÉ 1
TOTEM - NUC - 172.17.5.100,172.17.5.100,RO - PORTO VELHO - AV MAMORÉ 2
TOTEM - NUC - 172.17.4.250,172.17.4.250,RO - PORTO VELHO - PRAÇA DO CONJUNTO SANTO ANTONIO SALGADO FILHO 3818
TOTEM - NUC - 172.17.5.70,172.17.5.70,RO - PORTO VELHO - SKATE PARQUE 2
TOTEM - NUC - 172.17.5.60,172.17.5.60,RO - PORTO VELHO - SKATE PARQUE 1
TOTEM - NUC - 172.17.5.10,172.17.5.10,RO - PORTO VELHO - JOÃO PAULO SEGUNDO AV CAMPOS SALES / NETUNO
TOTEM - NUC - 172.17.5.50,172.17.5.50,RO - PORTO VELHO - PARQUE DA CIDADE
TOTEM - NUC - 172.17.5.40,172.17.5.40,RO - PORTO VELHO - AV CALAMA COM RIO MADEIRA
TOTEM - NUC - 172.17.5.20,172.17.5.20,RO - PORTO VELHO - AV. JATUARANA 1 JATURANA / GERALDO SIQUEIRA
TOTEM - NUC - 172.17.5.30,172.17.5.30,RO - PORTO VELHO - AV JATUARANA 2
TOTEM - NUC - 172.17.4.70,172.17.4.70,RO - PORTO VELHO - LAURO SODRE COM ESTRADA DO BELMONT
TOTEM - NUC - 172.17.4.190,172.17.4.190,RO - PORTO VELHO - MERCADO DO UM AV.SETE DE SETEMBRO / AV. BRASILIA
TOTEM - NUC - 172.17.5.160,172.17.5.160,RO - PORTO VELHO - PRAÇA DO COHAB
TOTEM - NUC - 172.17.4.180,172.17.4.180,RO - PORTO VELHO - RODOVIÁRIA DE PORTO VELHO  AV GOVERNADOR JORGE TEIXEIRA
TOTEM - NUC - 172.17.5.80,172.17.5.80,RO - PORTO VELHO - PRAÇA DO ESPERANÇA AV. MAMORÉ
TOTEM - NUC - 172.17.4.100,172.17.4.100,RO - PORTO VELHO - JATUARANA COM BR Acesso da BR 364
