old host name,new host name,group name
TOTEM - NUC - 172.16.28.40,172.16.28.40,SP - SAO VICENTE - CARREFOUR - 10012
TOTEM - NUC - 172.16.28.50,172.16.28.50,SP - SAO VICENTE - DIVISA DA PRAIA - 10013
TOTEM - NUC - 172.16.28.60,172.16.28.60,SP - SAO VICENTE - DIVISA DOS TAMBORES - 10014
TOTEM - NUC - 172.16.28.70,172.16.28.70,SP - SAO VICENTE - PRAÇA 1º DE MAIO - 10015
TOTEM - NUC - 172.16.28.80,172.16.28.80,SP - SAO VICENTE - VILA VALENÇA - 10016
TOTEM - NUC - 172.16.28.90,172.16.28.90,SP - SAO VICENTE - PRESIDENTE WILSON - 10017
TOTEM - NUC - 172.16.28.100,172.16.28.100,SP - SAO VICENTE - ILHA PORCHAT - 10018
TOTEM - NUC - 172.16.28.110,172.16.28.110,SP - SAO VICENTE - PRAIA DOS MILIONÁRIOS - 10019
TOTEM - NUC - 172.16.28.140,172.16.28.140,SP - SAO VICENTE - PRAÇA 22 DE JANEIRO - 10022
TOTEM - NUC - 172.16.28.150,172.16.28.150,SP - SAO VICENTE - PRAÇA TOM JOBIM - 10023
TOTEM - NUC - 172.16.28.160,172.16.28.160,SP - SAO VICENTE - PREFEITURA  - 10024
TOTEM - NUC - 172.16.28.170,172.16.28.170,SP - SAO VICENTE - PRAÇA BARÃO - RAMAL 10025
TOTEM - NUC - 172.16.28.180,172.16.28.180,SP - SAO VICENTE - PRAÇA DO CORREIO - 10026
TOTEM - NUC - 172.16.28.190,172.16.28.190,SP - SAO VICENTE - FÁBRICA DE VIDRO - RAMAL 10027
TOTEM - NUC - 172.16.28.200,172.16.28.200,SP - SAO VICENTE - JACOB EMERICH - RAMAL 10028
TOTEM - NUC - 172.16.28.210,172.16.28.210,SP - SAO VICENTE - BOMBEIRO - RAMAL 10029
TOTEM - NUC - 172.16.28.220,172.16.28.220,SP - SAO VICENTE - CAP LUIZ PIMENTA - RAMAL 10030
TOTEM - NUC - 172.16.28.230,172.16.28.230,SP - SAO VICENTE - PONTE PENSIL - RAMAL 10031
TOTEM - NUC - 172.16.28.240,172.16.28.240,SP - SAO VICENTE - PONTE DOS BARREIROS - RAMAL 10032
TOTEM - NUC - 172.16.29.10,172.16.29.10,SP - SAO VICENTE - PISTA DE POUSO  - RAMAL 10033
TOTEM - NUC - 172.16.29.20,172.16.29.20,SP - SAO VICENTE - INSS - RAMAL 10034
TOTEM - NUC - 172.16.29.30,172.16.29.30,SP - SAO VICENTE - JOÃO RAMALHO - RAMAL 10035
TOTEM - NUC - 172.16.29.40,172.16.29.40,SP - SAO VICENTE - JAPUI - RAMAL 10036
TOTEM - NUC - 172.16.29.50,172.16.29.50,SP - SAO VICENTE - DIVISA LINHA VERMELHA - RAMAL 10037
TOTEM - NUC - 172.16.29.60,172.16.29.60,SP - SAO VICENTE - MANUEL DE ABREU - 10038
