old host name,new host name,group name
TOTEM - NUC - 172.17.10.50,172.17.10.50,RO - VILHENA - AV. MAJOR MARANTES ESQUINA COM RUA MARQUES HENRIQUE - CENTRO
TOTEM - NUC - 172.17.10.80,172.17.10.80,RO - VILHENA - AV. PARANÁ COM RUA 916 - EM FRENTE AO SUPERMERCADO SUPER MAIS
TOTEM - NUC - 172.17.10.90,172.17.10.90,RO - VILHENA - AV. BRIGADEIRO EDUARDO GOMES COM AV. BENNO LUIZ GRAEBIN
TOTEM - NUC - 172.17.10.100,172.17.10.100,RO - VILHENA - AV. ALIPIO ERNESTO GRAEBIN COM BR-174
TOTEM - NUC - 172.17.10.110,172.17.10.110,RO - VILHENA - PRACA DA PETRAN / NSA SRA APARECIDA
TOTEM - NUC - 172.17.10.60,172.17.10.60,AV. RO - VILHENA - PARANÁ COM AV TANCREDO NEVES - EM FRENTE AO POSTO OURO VERDE
TOTEM - NUC - 172.17.10.70,172.17.10.70,RO - VILHENA - AV. PARANÁ COM AV. BRASIL - EM FRENTE AO POSTO AMERICA
TOTEM - NUC - 172.17.10.120,172.17.10.120,RO - VILHENA - AV. MARQUES HENRIQUE COM AV. MAJOR AMARANTES - CENTRO
TOTEM - NUC - 172.17.10.130,172.17.10.130,RO - VILHENA - AV. PRESIDENTE NASSER COM AV. CURITIBA - EM FRENTE AO AUTO POSTO AMÉRICA
TOTEM - NUC - 172.17.10.140,172.17.10.140,RO - VILHENA - AV. MELVIN JONES COM RUA 1504 - EM FRENTE AO SICOOB DO CRISTO REI
