old host name,new host name,group name
TOTEM - NUC - 172.17.14.50,172.17.14.50,RO - ARIQUEMES - PRACA DO LAGO
TOTEM - NUC - 172.17.14.60,172.17.14.60,RO - ARIQUEMES - ESPAÇO ALTERNATIVO
TOTEM - NUC - 172.17.14.70,172.17.14.70,RO - ARIQUEMES - AV TANCREDO NEVES / CANAÃ
TOTEM - NUC - 172.17.14.80,172.17.14.80,RO - ARIQUEMES - AV JK / AV CANAÃ
TOTEM - NUC - 172.17.14.90,172.17.14.90,RO - ARIQUEMES - ALAMEDA DO IPE / JACARANDA
TOTEM - NUC - 172.17.14.100,172.17.14.100,RO - ARIQUEMES - PRAÇA DA VITÓRIA
TOTEM - NUC - 172.17.14.110,172.17.14.110,RO - ARIQUEMES - PISTA DE CAMINHADA / CICLOVIA
TOTEM - NUC - 172.17.14.120,172.17.14.120,RO - ARIQUEMES - RO 257
TOTEM - NUC - 172.17.14.130,172.17.14.130,RO - ARIQUEMES - TUCANO / CAÇAPAVA
TOTEM - NUC - 172.17.14.140,172.17.14.140,RO - ARIQUEMES - CAPITÃO SILVIO / 364
