old host name,new host name,group name
TOTEM - NUC - 172.16.4.30,172.16.4.30,SP - COTIA - POLICLINICA
TOTEM - NUC - 172.16.4.40,172.16.4.40,SP - COTIA - SKATE
TOTEM - NUC - 172.16.4.50,172.16.4.50,SP - COTIA - PREFEITURA
TOTEM - NUC - 172.16.4.60,172.16.4.60,SP - COTIA - MC DONALD'S
TOTEM - NUC - 172.16.4.70,172.16.4.70,SP - COTIA - RT23
TOTEM - NUC - 172.16.4.80,172.16.4.80,SP - COTIA - CIT
TOTEM - NUC - 172.16.4.90,172.16.4.90,SP - COTIA - SÃO CAMILO
TOTEM - NUC - 172.16.4.100,172.16.4.100,SP - COTIA - CHICO ANYSIO
TOTEM - NUC - 172.16.4.110,172.16.4.110,SP - COTIA - MIRIZOLLA
TOTEM - NUC - 172.16.4.120,172.16.4.120,SP - COTIA - SABIÁ
TOTEM - NUC - 172.16.4.130,172.16.4.130,SP - COTIA - EID MANSUR
TOTEM - NUC - 172.16.4.140,172.16.4.140,SP - COTIA - SHOPPING
TOTEM - NUC - 172.16.4.150,172.16.4.150,SP - COTIA - JOAQUIN NUNES
TOTEM - NUC - 172.16.4.160,172.16.4.160,SP - COTIA - KM39
TOTEM - NUC - 172.16.4.170,172.16.4.170,SP - COTIA - ROQUE CELESTINO
TOTEM - NUC - 172.16.4.180,172.16.4.180,SP - COTIA - TERMINAL CAUCAIA
TOTEM - NUC - 172.16.4.190,172.16.4.190,SP - COTIA - TIJUCO PRETO
TOTEM - NUC - 172.16.4.200,172.16.4.200,SP - COTIA - EMBU / ASSAI
TOTEM - NUC - 172.16.4.210,172.16.4.210,SP - COTIA - AGUA ESPRAIADA
TOTEM - NUC - 172.16.4.220,172.16.4.220,SP - COTIA - MERCADO MUNICIPAL
TOTEM - NUC - 172.16.4.230,172.16.4.230,SP - COTIA - RT22
TOTEM - NUC - 172.16.4.240,172.16.4.240,SP - COTIA - STA. ISABEL
TOTEM - NUC - 172.16.5.10,172.16.5.10,SP - COTIA - ATACADÃO
TOTEM - NUC - 172.16.5.20,172.16.5.20,SP - COTIA - PÇA. MAÇOM
TOTEM - NUC - 172.16.5.30,172.16.5.30,SP - COTIA - JD JAPÃO
TOTEM - NUC - 172.16.5.40,172.16.5.40,SP - COTIA - SÃO PAULO II
TOTEM - NUC - 172.16.5.50,172.16.5.50,SP - COTIA - JOÇAO PAULO ABLAS
TOTEM - NUC - 172.16.5.60,172.16.5.60,SP - COTIA - CALIL FILHO
TOTEM - NUC - 172.16.5.70,172.16.5.70,SP - COTIA - CALÇADÃO
TOTEM - NUC - 172.16.5.80,172.16.5.80,SP - COTIA - UPA ATALAIA
TOTEM - NUC - 172.16.5.90,172.16.5.90,SP - COTIA - NISO VIANA
TOTEM - NUC - 172.16.5.100,172.16.5.100,SP - COTIA - LAMARTINE
TOTEM - NUC - 172.16.5.110,172.16.5.110,SP - COTIA - CRECHE TUTIGUARA
TOTEM - NUC - 172.16.5.120,172.16.5.120,SP - COTIA - HOSPITAL
TOTEM - NUC - 172.16.5.130,172.16.5.130,SP - COTIA - SÃO FERNANDO
TOTEM - NUC - 172.16.5.140,172.16.5.140,SP - COTIA - ESTRADA CAPUAVA
TOTEM - NUC - 172.16.48.70,172.16.48.70,SP - COTIA EDUCACAO - EM. VICENTINA PIRES DE OLIVEIRA.
TOTEM - NUC - 172.16.48.110,172.16.48.110,SP - COTIA EDUCACAO - EM.ELYDIA SCOPEL CREMOZZI.
TOTEM - NUC - 172.16.48.150,172.16.48.150,SP - COTIA EDUCACAO - EM CAPUTERA
TOTEM - NUC - 172.16.48.190,172.16.48.190,SP - COTIA EDUCACAO - CE DORVALINA MARIA DE JESUS
TOTEM - NUC - 172.16.48.230,172.16.48.230,SP - COTIA EDUCACAO - CRIANÇA DE COTIA 2
TOTEM - NUC - 172.16.49.10,172.16.49.10,SP - COTIA EDUCACAO - EM.EDITH MARIA DOS SANTOS SILVA.
TOTEM - NUC - 172.16.49.90,172.16.49.90,SP - COTIA EDUCACAO - EM BAIRRO CAMPININHA
TOTEM - NUC - 172.16.49.210,172.16.49.210,SP - COTIA EDUCACAO - CE.JARDIM NOUMURA.
TOTEM - NUC - 172.16.49.250,172.16.49.250,SP - COTIA EDUCACAO - EM.TURIGUARA.
TOTEM - NUC - 172.16.50.30,172.16.50.30,SP - COTIA EDUCACAO - CE.WALMOR CAETANO FERRARETTO.
TOTEM - NUC - 172.16.55.230,172.16.55.230,SP - COTIA EDUCACAO - EM JOSE DA COSTA CHAVES
TOTEM - NUC - 172.16.56.10,172.16.56.10,SP - COTIA EDUCACAO - EM FRANCISCO DE PAULA CARRARO
TOTEM - NUC - 172.16.56.50,172.16.56.50,SP - COTIA - EDUCACAO - EM VICENTE MACIEL
TOTEM - NUC - 172.16.56.90,172.16.56.90,SP - COTIA EDUCACAO - EM FRANCISCO NUNES DE OLIVEIRA
TOTEM - NUC - 172.16.56.170,172.16.56.170,SP - COTIA EDUCACAO - EM JOAQUIM DE MORAES VICTOR
TOTEM - NUC - 172.16.56.250,172.16.56.250,SP - COTIA EDUCACAO - EM PROF. OTILIA FREIRE SANTOS SHIMADA
TOTEM - NUC - 172.16.57.30,172.16.57.30,SP - COTIA EDUCACAO - EM JARDIM ROSALINA
